player_name,mlbid,final_adp,week,x1b,x2b,x3b,hr,bb,hbp,r,rbi,sb,ud_points,week_rank,rank_group
Emmanuel Rivera,656896,NA,2025-09-08,2,0,0,0,0,0,0,1,0,8,142,Unusable
Edmundo Sosa,624641,NA,2025-04-21,2,0,0,0,0,0,1,0,0,8,161,Unusable
Martin Maldonado,455117,NA,2025-03-24,2,0,0,0,0,0,0,1,0,8,125,Unusable
Martin Maldonado,455117,NA,2025-07-28,2,0,0,0,0,0,1,0,0,8,157,Unusable
Austin Hedges,595978,NA,2025-06-16,1,0,0,0,1,0,0,1,0,8,159,Unusable
Austin Hedges,595978,NA,2025-07-07,0,1,0,0,0,0,1,0,0,8,150,Unusable
Austin Hedges,595978,NA,2025-08-18,1,0,0,0,1,0,0,1,0,8,152,Unusable
Agustin Ramirez,682663,NA,2025-04-28,0,1,0,0,0,0,1,0,0,8,163,Unusable
Luis Torrens,620443,NA,2025-09-22,2,0,0,0,0,0,1,0,0,8,153,Unusable
Andy Ibanez,628451,NA,2025-09-01,1,0,0,0,1,0,1,0,0,8,146,Unusable
Dylan Moore,664238,NA,2025-08-11,0,1,0,0,0,0,1,0,0,8,148,Unusable
Dylan Moore,664238,NA,2025-09-22,1,0,0,0,0,1,1,0,0,8,153,Unusable
Travis d'Arnaud,518595,NA,2025-08-11,0,1,0,0,0,0,0,1,0,8,148,Unusable
Travis d'Arnaud,518595,NA,2025-08-18,0,1,0,0,0,0,1,0,0,8,152,Unusable
Vidal Brujan,660644,NA,2025-08-11,0,0,0,0,2,0,1,0,0,8,148,Unusable
Max Schuemann,680474,NA,2025-08-18,1,0,0,0,1,0,0,1,0,8,152,Unusable
Kyle Farmer,571657,NA,2025-06-16,2,0,0,0,0,0,1,0,0,8,159,Unusable
Kyle Farmer,571657,NA,2025-06-30,0,0,0,0,0,2,1,0,0,8,153,Unusable
Kyle Farmer,571657,NA,2025-09-15,2,0,0,0,0,0,0,1,0,8,143,Unusable
Luis Urias,649966,NA,2025-04-07,1,0,0,0,1,0,0,1,0,8,159,Unusable
Luis Urias,649966,NA,2025-06-23,2,0,0,0,0,0,0,1,0,8,148,Unusable
Josh Rojas,668942,NA,2025-07-14,0,1,0,0,0,0,0,1,0,8,113,Unusable
Josh Rojas,668942,NA,2025-07-21,0,0,0,0,2,0,1,0,0,8,145,Unusable
Adrian Del Castillo,680728,NA,2025-07-28,1,0,0,0,1,0,0,1,0,8,157,Unusable
Adrian Del Castillo,680728,NA,2025-08-18,2,0,0,0,0,0,0,1,0,8,152,Unusable
